"id","password","last_login","is_superuser","email","is_staff","is_active","date_joined","name","created_at","updated_at","gender","birthdate","department","profile_picture","role","username","first_name","last_name","url"
3,chloe,2022-12-01 00:00:00.000 +0000,false,chloe@kcl.ac.uk,false,true,2022-12-01 00:00:00.000 +0000,Chloe,2022-12-01 00:00:00.000 +0000,2022-12-01 00:00:00.000 +0000,2,2002-09-10 01:00:00.000 +0100,5,file:///var/mobile/Containers/Data/Application/551E97A3-FF4A-44F3-ACD7-43F7FC351999/Library/Caches/ExponentExperienceData/%2540anonymous%252Frealm_rn-cbe4ee6e-3b23-4163-b7d6-88462db9b63f/ImagePicker/2B07894B-2C07-4775-8E4D-C43F9E22D8DE.jpg,0,,,,
4,john,2022-12-01 00:00:00.000 +0000,false,john@kcl.ac.uk,false,true,2022-12-01 00:00:00.000 +0000,John,2022-12-01 00:00:00.000 +0000,2022-12-01 00:00:00.000 +0000,1,2000-12-10 00:00:00.000 +0000,3,file:///var/mobile/Containers/Data/Application/551E97A3-FF4A-44F3-ACD7-43F7FC351999/Library/Caches/ExponentExperienceData/%2540anonymous%252Frealm_rn-cbe4ee6e-3b23-4163-b7d6-88462db9b63f/ImagePicker/2B07894B-2C07-4775-8E4D-C43F9E22D8DE.jpg,0,,,,
8,pbkdf2_sha256$390000$DiTE1f3wMZGTfFda5t4nIX$tWgtFSpLyY7c3uV59F/BDRuY6BS4ALdefFObb45fu+0=,,false,testing@kcl.ac.uk,false,true,2022-12-05 16:26:29.395 +0000,Testing,2022-12-05 16:26:29.434 +0000,2022-12-05 16:26:29.434 +0000,2,2002-09-10 01:00:00.000 +0100,1,file:///var/mobile/Containers/Data/Application/551E97A3-FF4A-44F3-ACD7-43F7FC351999/Library/Caches/ExponentExperienceData/%2540anonymous%252Frealm_rn-cbe4ee6e-3b23-4163-b7d6-88462db9b63f/ImagePicker/2B07894B-2C07-4775-8E4D-C43F9E22D8DE.jpg,0,,"","",
10,pbkdf2_sha256$390000$RYYRNiVO3Y9hpGEeU4PFnh$AGiXkmuCkjXgQzL2GvZbuTgOcm2nujkNIL+j431zNuw=,,false,Hi@kcl.ac.uk,false,true,2022-12-05 18:09:48.937 +0000,HI,2022-12-05 18:09:49.104 +0000,2022-12-05 18:09:49.104 +0000,1,2022-12-05 18:00:36.239 +0000,1,file:///var/mobile/Containers/Data/Application/551E97A3-FF4A-44F3-ACD7-43F7FC351999/Library/Caches/ExponentExperienceData/%2540anonymous%252Frealm_rn-cbe4ee6e-3b23-4163-b7d6-88462db9b63f/ImagePicker/2B07894B-2C07-4775-8E4D-C43F9E22D8DE.jpg,0,,"","",
12,pbkdf2_sha256$390000$526MLXxX8zzDEVJ9nF30ZU$jF9W1BLUExBwf6KdgaF5JJU6hxxZZd+WoQabX7FOs+I=,,false,host1@kcl.ac.uk,false,true,2022-12-12 16:07:56.180 +0000,Host 1,2022-12-12 16:07:56.218 +0000,2022-12-12 16:13:25.500 +0000,2,2002-09-10 01:00:00.000 +0100,1,file:///var/mobile/Containers/Data/Application/551E97A3-FF4A-44F3-ACD7-43F7FC351999/Library/Caches/ExponentExperienceData/%2540anonymous%252Frealm_rn-cbe4ee6e-3b23-4163-b7d6-88462db9b63f/ImagePicker/2B07894B-2C07-4775-8E4D-C43F9E22D8DE.jpg,1,,"","",
13,pbkdf2_sha256$390000$5XVK2LcgZL5FFH5jmp6dVJ$CgDZDakxs4aGFiRJufpaNyu4T0285qTNpFcKZ03AcUY=,,false,host2@kcl.ac.uk,false,true,2022-12-12 16:08:11.136 +0000,Host 2,2022-12-12 16:08:11.175 +0000,2022-12-12 16:13:31.023 +0000,2,2002-09-10 01:00:00.000 +0100,1,file:///var/mobile/Containers/Data/Application/551E97A3-FF4A-44F3-ACD7-43F7FC351999/Library/Caches/ExponentExperienceData/%2540anonymous%252Frealm_rn-cbe4ee6e-3b23-4163-b7d6-88462db9b63f/ImagePicker/2B07894B-2C07-4775-8E4D-C43F9E22D8DE.jpg,1,,"","",
14,pbkdf2_sha256$390000$IkIIpx3RfrSKiPAsbfNJsu$Km0qIAkQZQvMmM/jc+jHjAkCD4N9+rlhBgiRitx2joU=,,false,host3@kcl.ac.uk,false,true,2022-12-12 16:08:22.398 +0000,Host 3,2022-12-12 16:08:22.437 +0000,2022-12-12 16:13:48.652 +0000,2,2002-09-10 01:00:00.000 +0100,1,file:///var/mobile/Containers/Data/Application/551E97A3-FF4A-44F3-ACD7-43F7FC351999/Library/Caches/ExponentExperienceData/%2540anonymous%252Frealm_rn-cbe4ee6e-3b23-4163-b7d6-88462db9b63f/ImagePicker/2B07894B-2C07-4775-8E4D-C43F9E22D8DE.jpg,1,,"","",
15,pbkdf2_sha256$390000$JhR2XZ4JWuAlCA28SijLI7$z8IkWnlNMNghQMSTx3gojU6mrllHRVmDIjBhw0Y/KZY=,,false,host4@kcl.ac.uk,false,true,2022-12-12 16:08:29.897 +0000,Host 4,2022-12-12 16:08:29.938 +0000,2022-12-12 16:13:54.012 +0000,2,2002-09-10 01:00:00.000 +0100,1,file:///var/mobile/Containers/Data/Application/551E97A3-FF4A-44F3-ACD7-43F7FC351999/Library/Caches/ExponentExperienceData/%2540anonymous%252Frealm_rn-cbe4ee6e-3b23-4163-b7d6-88462db9b63f/ImagePicker/2B07894B-2C07-4775-8E4D-C43F9E22D8DE.jpg,1,,"","",
16,pbkdf2_sha256$390000$9i4aA4AT0S371v5L8tecMw$pXrEmS7M50ddRAypVbI0Sk5fx6Ubu60cnvVckigU1kY=,,false,host5@kcl.ac.uk,false,true,2022-12-12 16:08:38.256 +0000,Host 5,2022-12-12 16:08:38.292 +0000,2022-12-12 16:14:07.820 +0000,2,2002-09-10 01:00:00.000 +0100,1,file:///var/mobile/Containers/Data/Application/551E97A3-FF4A-44F3-ACD7-43F7FC351999/Library/Caches/ExponentExperienceData/%2540anonymous%252Frealm_rn-cbe4ee6e-3b23-4163-b7d6-88462db9b63f/ImagePicker/2B07894B-2C07-4775-8E4D-C43F9E22D8DE.jpg,1,,"","",
7,pbkdf2_sha256$390000$Vr3foj5CMJa1r8j5wgb4bO$N6/V9c0of7j4y2e0MpqDdFS4O3kqgy7X+sAaTivHupw=,,false,bob@kcl.ac.uk,false,true,2022-11-24 22:03:36.905 +0000,Bob,2022-11-24 22:03:36.947 +0000,2022-12-12 16:12:47.773 +0000,,,,file:///var/mobile/Containers/Data/Application/551E97A3-FF4A-44F3-ACD7-43F7FC351999/Library/Caches/ExponentExperienceData/%2540anonymous%252Frealm_rn-cbe4ee6e-3b23-4163-b7d6-88462db9b63f/ImagePicker/42327F2F-3089-4B70-B60B-8584845AD9EA.jpg,1,,"","",
